Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2020-06-15 00:00:00+05:30,2039.0999755859375,2059.0,2000.949951171875,2029.9000244140625,1885.341064453125,2399022,0.0,0.0
2020-06-16 00:00:00+05:30,2065.0,2073.949951171875,2031.0,2045.800048828125,1900.108642578125,2146528,0.0,0.0
2020-06-17 00:00:00+05:30,2046.0,2058.85009765625,2026.550048828125,2047.800048828125,1901.96630859375,2703527,0.0,0.0
2020-06-18 00:00:00+05:30,2045.0,2059.199951171875,2025.199951171875,2038.0999755859375,1892.9571533203125,1944389,0.0,0.0
2020-06-19 00:00:00+05:30,2042.0,2090.0,2032.0,2044.5999755859375,1898.9940185546875,5681758,0.0,0.0
2020-06-22 00:00:00+05:30,2050.0,2052.25,2019.1500244140625,2027.949951171875,1883.5296630859375,3196138,0.0,0.0
2020-06-23 00:00:00+05:30,2027.0,2044.0,2010.0,2035.300048828125,1890.3563232421875,4205944,0.0,0.0
2020-06-24 00:00:00+05:30,2034.0,2064.25,2031.5999755859375,2042.199951171875,1896.76513671875,2560937,0.0,0.0
2020-06-25 00:00:00+05:30,2035.0,2060.0,2009.25,2016.0999755859375,1872.5235595703125,3043931,0.0,0.0
2020-06-26 00:00:00+05:30,2025.0,2132.0,2019.949951171875,2118.85009765625,1967.956298828125,6300722,0.0,0.0
2020-06-29 00:00:00+05:30,2108.0,2127.60009765625,2091.300048828125,2101.64990234375,1951.981201171875,3076341,0.0,0.0
2020-06-30 00:00:00+05:30,2100.0,2111.89990234375,2075.050048828125,2082.14990234375,1933.86962890625,3071725,0.0,0.0
2020-07-01 00:00:00+05:30,2079.699951171875,2113.949951171875,2079.5,2092.050048828125,1943.065185546875,2503466,0.0,0.0
2020-07-02 00:00:00+05:30,2102.0,2165.0,2098.0,2157.14990234375,2003.5284423828125,3758699,0.0,0.0
2020-07-03 00:00:00+05:30,2163.64990234375,2205.0,2160.25,2199.64990234375,2043.0023193359375,4185208,0.0,0.0
2020-07-06 00:00:00+05:30,2205.0,2269.89990234375,2205.0,2263.199951171875,2102.0263671875,5190366,0.0,0.0
2020-07-07 00:00:00+05:30,2275.0,2302.699951171875,2232.14990234375,2269.89990234375,2108.24951171875,5630055,0.0,0.0
2020-07-08 00:00:00+05:30,2270.0,2274.39990234375,2207.60009765625,2218.89990234375,2060.880859375,2793358,0.0,0.0
2020-07-09 00:00:00+05:30,2229.0,2244.5,2191.050048828125,2204.35009765625,2047.3675537109375,3443998,0.0,0.0
2020-07-10 00:00:00+05:30,2205.25,2249.85009765625,2176.0,2222.35009765625,2064.085205078125,9610320,0.0,0.0
2020-07-13 00:00:00+05:30,2220.0,2244.949951171875,2210.0,2220.0,2061.90283203125,2963503,0.0,0.0
2020-07-14 00:00:00+05:30,2210.0,2239.0,2165.0,2171.949951171875,2017.2747802734375,2976738,0.0,0.0
2020-07-15 00:00:00+05:30,2185.0,2260.0,2181.10009765625,2233.89990234375,2074.812744140625,5569321,0.0,0.0
2020-07-16 00:00:00+05:30,2244.0,2333.0,2220.10009765625,2234.75,2080.258544921875,8582118,5.0,0.0
2020-07-17 00:00:00+05:30,2237.0,2243.89990234375,2190.050048828125,2200.75,2048.609619140625,4509135,0.0,0.0
